,person,location,date,organization
CIA_40,"['al Ghamdi', 'al Ghamdi', 'Domingo']","['Riyadh', 'Saudi Arabia', 'Riyadh', 'Saudi Arabia', 'Afghanistan', 'Saudi Arabia']",['1970 to 1988'],['Al Qaeda']
CIA_41,"['Pyotr Safrygin', 'Safrygin']",[],"['2 November, 2004', '1 September, 2004', '15 September, 2004', 'Vector']","['CIA Report', 'the farm house']"
CIA_42,"['Omar Hanif', 'Hanif', 'Hanif', 'Hanif', 'Muslih Odeh', 'Odeh']","['Nassau', 'Bahamas']","['1 December, 2004']",['the Freeport Star Hotel']
CIA_43,"['Omar Hanif', 'Hanif', 'Hanif']",['Nassau'],"['yesterday', '15 December, 2004']",['Apple St.']
CIA_docs.txt,"['Igor Kolokov', 'Kolokov', 'Kolokov', 'Kolokov', 'David Loiseau', 'Kanjak Training Camp', 'Raeed Beandali', 'Al Khaldun', 'Fahd Khadr', 'Al-Badr', 'Arze', 'Arze', 'Arze', 'Hector Lopez', 'Jose Escalante', 'Escalante', 'Escalante', 'Pyotr Safrygin', 'Saeed Hasham', 'Hamid Qatada', 'Yasir Salman', 'Salang', 'Osama bin Laden', 'Khalid Taha', 'Spin Shaga', 'Fahd al Badawi', 'Osama bin Laden', 'Surete', 'Abdillah Zinedine', 'Rue Duhesme', 'Mehdi Rafiki', 'Rue Duhesme', 'Abu Hafs', 'Zakarya Ziyad', 'Mohamed al Omari', 'Badawi', 'Mamdouh al Hazmi', 'Ramundo Ortiz', 'Omar Mahmoud Othman', 'Omar Hanif', 'Othman', 'Heathrow', 'Hanif', 'Othman', 'Jamal al Quso', 'Yasir Salman', 'F. Badawi', 'Safrygin', 'Mohamed Essabar', 'A. Atmani', 'Abdellah Atmani', 'Atmani', 'Atmani', 'Atmani', 'Riduan Sungkar', 'Omar Evertts', 'A. Somad', 'Buckthorn St', 'Y. Bafaba', 'Ramundo Ortiz', 'Ortiz', 'Satam Derwish', 'Ronald', 'Bugarov', 'Pyotr Safrygin', 'Boris Bugarov', 'Yury Kalinin', 'Muslih Odeh', 'Muslih Odeh', 'Odeh', 'Badawi', 'Badawi', 'Carlos Araneda', 'Jose Escalante', 'B. Bugarov', 'Arnoldo Ramirez', 'Ali Talib', 'Omar al Banna', 'Nadia Mahfouz', 'Ali Mishal', 'Abdel Noufal', 'Ahmad Miner', 'Yasir Salman', 'Shukri Azzam', 'Nidal Awad', 'Carlos Morales', 'Morales', 'Morales', 'Morales', 'Morales', 'Omar Hanif', 'Saeed Hasham', 'Ramundo Ortiz', 'Jose Escalante', 'Omar Hanif', 'Hanif', 'Hanif', 'Ali Sufaat', 'Sufaat', 'Sufaat', 'Amur', 'Cesar Arze', 'Domingo', 'Arze', 'Carlos Morales', 'Jose Escalante', 'Arze', 'Escalante', 'Arze', 'Carlos Morales', 'Boris Bugarov', 'Bugarov', 'Bugarov', 'Odeh', 'Abdul Nasser', 'Ali al-Omari', 'Abdul Ahmed Nasser', 'Ali al Omari', 'Pyotr Safrygin', 'Safrygin', 'Safrygin', 'Safrygin', 'Grigory Sizov', 'Boris Bugarov', 'Sizov', 'Bugarov', 'Sizov', 'Sizov', 'Bugarov', 'Castro', 'Sizov', 'Bugarov', 'Bugarov', 'Sizov', 'Bugarov', 'Sizov', 'Bugarov', 'Sizov', 'Bugarov', 'Abdul Jabarah', 'Fahd Jehani', 'Ramzi al Shibh', 'Jehani', 'Ali Sufaat', 'Sufaat', 'Sufaat', 'Omar Hanif', 'Abdellah Atmani', 'Atmani', 'Atmani', 'al Ghamdi', 'al Ghamdi', 'Domingo', 'Pyotr Safrygin', 'Safrygin', 'Omar Hanif', 'Hanif', 'Hanif', 'Hanif', 'Muslih Odeh', 'Odeh', 'Omar Hanif', 'Hanif', 'Hanif']","['Cairo', 'the Middle East', 'Moscow', 'Medikat', 'Strizi', 'Kirov', 'Russia', 'Peshawar', 'Toronto', 'Gizab', 'Qalat', 'London', 'Montreal', 'Cesar Arze', 'Domingo', 'Dominican Republic', 'Havana', 'Cuba', 'Bogota', 'Columbia', 'South', 'Central America', 'Caribbean', 'Calamar', 'Columbia', 'Havana', 'Columbia', 'Ecuador', 'Peru', 'Caribbean', 'Strizi', 'Russia', 'Lipetsk', 'Russia', 'Moscow', 'Khost', 'Pakhtia province', 'Egypt', 'Zinedine', 'Paris', 'the Fall of 2001', 'Zinedine', 'Afghanistan', 'Pakhtia province', 'Afghanistan', 'Zinedine', 'Paris', 'Montreal', 'Canada', 'Zinedine', 'Chicago', 'Murad', 'Zinedine', 'Murad', 'America', 'Peshawar', 'Parachinar', 'Afghanistan', 'Pakistan', 'Afghanistan', 'Peshawar', 'Liberia', 'Panama City', 'Panama', 'London', 'UK', 'Afghanistan', 'London', 'Islamabad', 'London', 'Nassau', 'Bahamas', 'Bahamas', 'Nassau', 'Freeport', 'UK', 'Yemen', 'London', 'Chicago', 'Illinois', 'Peshawar', 'USA', 'Casablanca', 'Afghanistan', 'Essabar', 'Casablanca', 'Casablanca', 'Casablanca', 'the east coast', 'USA', 'Caribbean', 'Amsterdam', 'The Netherlands', 'Amsterdam', 'The Netherlands', 'Kuala Lumpur', 'Amsterdam', 'Chicago', 'IL', 'Los Angeles', 'Amsterdam', 'Los Angeles', 'Culver City', 'Panama City', 'Panama City', 'Central and South America', 'Havana', 'Cuba', 'Africa', 'the Middle East', 'Iran', 'Pakistan', 'Peshawar', 'Peshawar', 'Windsor, Ontario', 'Canada', 'Windsor', 'Detroit', 'Michigan', 'Windsor', 'USA', 'Newark', 'NJ', 'Chicago', 'IL', 'Columbus', 'Ohio', 'Moscow', 'Havana', 'Cuba', 'Moscow', 'Russia', 'Cuba', 'Havana', 'Jeddah', 'Saudi Arabia', 'Riyadh', 'Peshawar', 'Orgun', 'Afghanistan', 'Havana', 'Cuba', 'Havana', 'Cuba', 'San Cristobal', 'Cuba', 'Pakistan', 'Casablanca', 'Islamabad', 'Dominican Republic', 'Buenos Aires', 'Argentina', 'Nassau', 'Bahamas', 'Cairo', 'Egypt', 'Cairo', 'Cairo', 'Panama City', 'Havana', 'Cuba', 'Nassau', 'Bahamas', 'Nassau', 'Miami', 'London', 'Karachi', 'Pakistan', 'Karachi', 'Nishtar Rd', 'Caracas', 'Venezuela', 'Caracas', 'Cuba', 'Bahamas', 'Caribbean Cargo', 'Casablanca', 'USA', 'Miami', 'Savannah', 'Norfolk', 'VA', 'USA', 'Domingo', 'Dominican Republic', 'Caracas', 'Venezuela', 'USA', 'the Dominican Republic', 'Venezuela', 'Blagoveshchensk', 'Havana', 'Cuba', 'Buenos Aires', 'Argentina', 'Argentina', 'Vector', 'Cuba', 'Moscow', 'Cuba', 'Europe', 'the Middle East', 'South America', 'Cuba', 'Odeh', 'Freeport', 'Bahamas', 'Afghanistan', 'Al Khuldan', 'Khost', 'Moscow', 'Strizhi', 'Moscow', 'Africa', 'Bucaramanga', 'Columbia', 'USA', 'Cuba', 'Moscow', 'Havana', 'Soviet Union', 'Cuba', 'BW', 'Nishtar Rd', 'Karachi', 'Kuwaiti', 'Pakistan', 'Karachi', 'Moataz', 'Pakistan', 'Nassau', 'Bahamas', 'Nassau', 'Casablanca', 'The Dominican Republic', 'Riyadh', 'Saudi Arabia', 'Riyadh', 'Saudi Arabia', 'Afghanistan', 'Saudi Arabia', 'Nassau', 'Bahamas', 'Nassau']","['29 January, 2003', '2000-2001', 'March 2002', '2000-2001', '26 November, 2002', '12 December, 2002', '1999-2000', '23 October, 2000', '1992', '23 January, 2003', '3 March,', '2003', '1991', '26 December, 1950', '2002', '22 September 2002', '2001', 'July', '2000', '2 April, 2003 the', '1997 - 2000', '1 April, 2003', '12 January 2003', '2001', '2 January, 2003', 'a year', '1999', 'February of 1999', 'December, 1999', '1993', '1998', '1996', 'one-year', 'July 17, 1999', '15 May, 2003', 'the day before', 'May, 2002', 'March 10, 2003', '16 May, 2003', '18 June, 2003', '16 May, 2003', '20 June, 2003', 'the mid 1990s', '1974', '23 June, 2003', '15 July, 2003', '17 July', '1 July, 2003', '1992', '12 September, 2003', 'Vector', 'the years 1986 and 1990', '1990', '15 September, 2003', '1967', '1998', '2 January, 2003', '20 April, 2003', '12 March', '2003', 'about 2 October, 2003', '19 October, 2003', '22 October, 2003', '21 October, 2003', '23 October, 2003', '18 October, 2003', '22 October, 2003', 'between 19 - 24 October, 2003', 'October', 'October', 'October', 'October', 'October', 'October', 'October', 'October', 'October', '23 October', '65', '1 November, 2003', '2000', 'February of 2001', '4 March, 1970', '20 December, 2003', '25 December, 2003', '27 January, 2004', '4 February, 2004', '5 February', '7 February', '17 February', '15 April, 2004', '1 May, 2004', '1992 - 1993', '22 February', '2003', '15 November, 2003', '1950', 'around 1986', '1992', '1993', '25 September', '2003', '1999 - 2001', '12 February, 2004', 'February of 2000', '1 September', '2002', '13 February, 2004', '17 September, 2004', '5 September, 2004', '1 October, 2004', 'ten days', '5 October, 2004', 'Later the same day', '1970 to 1988', '2 November, 2004', '1 September, 2004', '15 September, 2004', 'Vector', '1 December, 2004', 'yesterday', '15 December, 2004']","['Detroit MI.', 'FARC', 'the National Liberation Army', 'the Vector institute', 'Central Russia Airlines', 'Al Qaeda', 'Jorm, Taloqan', 'Kashmiri', 'University of Cairo', 'Farooq', 'Abu Hafs', 'the Amercan Embassy', 'Al Qaeda', 'Omari', 'Al Qaeda', 'Omari', 'Al Qaeda', 'Omari', 'Farooq', 'Omari', 'Farooq', 'Hasham', 'Omari', 'Omari', 'Al Qaeda', 'the Baker St. Mosque', 'Apple St.', 'the Seashore Hotel', 'the Freeport Star Hotel', 'Al Qaeda', 'Pakistani Intelligence', 'Al Qaeda', 'the Holland Orange Shipping Lines', 'Holland Orange', 'Sungkar', 'Voorburg', 'Flaxton St.', 'Al Qaeda', 'NSA', 'RCMP', 'RCMP', 'Derwish', 'RCMP', 'Hezbollah', 'Canada Eastern Airlines', 'Canadian Eastern Airlines', 'NSA', 'the Vector Institute', 'NSA', 'Saudi Intelligence', 'CIA', 'Al Qaeda', 'a Mamdouh al Hazmi', 'Chitral', 'Casablanca', 'the Moroccan Sands Hotel', 'Moroccan Oasis Hotel', 'Abu Adil', 'Jamat Syeed', 'Moroccan Sands Hotel', 'NSA', 'AutoFleet', 'Santo Domingo', 'Ramses St.', 'the Canal Bank', 'the Peoples Bank', 'Peoples Bank', 'Pakistani Intelligence', 'the Caribbean Cargo Shipping Lines', 'Holland Orange Shipping Lines', 'Dutch Courage', 'Orange Queen', 'Orange Queen', 'Dutch Courage', 'CIA', 'CIA', 'Saratov', 'Moscow State University', 'Bugarov', 'CIA', 'the Freeport Star Hotel', 'FBI', 'DIA Report', 'Central Russia Airlines', 'Safrygin', 'the Center of Disease Control', 'CDC', 'CDC', 'FMD', 'CIA', 'Al Qaeda', 'S. H', 'Chitral', 'the Island Freight Lines', 'Nassau and Santo Domingo', 'the Seashore Hotel', 'the Holland Orange Shipping Lines', 'Central Russia Airlines', 'the ""Dutch Courage', 'Atmani', 'Holland Orange', 'Al Qaeda', 'CIA Report', 'the farm house', 'the Freeport Star Hotel', 'Apple St.']"
DIA_01,"['Abdul Ahmed Nasser', 'Baglan']","['Chechnya', 'Afghanistan', 'USA']","['October 1967', '3 February', '04', '1997', '1999']",['Taliban/Al Qaeda']
DIA_02,"['Kamal Abdullah', 'Abdullah', 'Abdullah', 'Ali Sittah', 'Talat Rushdi', 'Omar', 'Saeed Hasham']","['Asadabad', 'Afghanistan', 'Afghanistan', 'Pakistan', 'Pakistan', 'Chitral', 'Khost']","['1 February, 2004', '2000', 'December, 2003']","['Al Qaeda', 'Chitral', 'Al Qaeda', 'Al Qaeda']"
DIA_03,"['Khaled Jehani', 'Jehani', 'Abu Somad', 'Yazid Bafaba', 'Abdul al Nami']","['USA', 'USA', 'Jehani', 'USA', 'USA', 'Los Angeles', 'USA', 'Canada', 'Detroit']","['16 February, 2004', '1995', '1997']","['the University of Maryland', 'MA']"
DIA_docs.txt,"['Abdul Ahmed Nasser', 'Baglan', 'Kamal Abdullah', 'Abdullah', 'Abdullah', 'Ali Sittah', 'Talat Rushdi', 'Omar', 'Saeed Hasham', 'Khaled Jehani', 'Jehani', 'Abu Somad', 'Yazid Bafaba', 'Abdul al Nami']","['Chechnya', 'Afghanistan', 'USA', 'Asadabad', 'Afghanistan', 'Afghanistan', 'Pakistan', 'Pakistan', 'Chitral', 'Khost', 'USA', 'USA', 'Jehani', 'USA', 'USA', 'Los Angeles', 'USA', 'Canada', 'Detroit']","['October 1967', '3 February', '04', '1997', '1999', '1 February, 2004', '2000', 'December, 2003', '16 February, 2004', '1995', '1997']","['Taliban/Al Qaeda', 'Al Qaeda', 'Chitral', 'Al Qaeda', 'Al Qaeda', 'the University of Maryland', 'MA']"
FBI_01,"['Surete', 'Abdillah Zinedine', 'Abu Hafs', 'Surete', 'Mehdi Rafiki', 'Rue Durocher', 'Patrick', 'Mehdi Rafiki']","['Paris', 'Zinedine', 'Paris', 'Montreal', 'Canada', 'Montreal', 'Montreal', 'Montreal', 'Schiller Park', 'Buffalo', 'NY']","['2 April, 2003', '17 April', '1 April, 2003', '2 April, 2003', '2 April, 2003', '6 April, 2003']","['CIA', 'Mehdi Rafiki', 'Abu Hafs', 'the Canadauto Car Rental Agency', 'Walden Ave']"
FBI_02,"['Riyad Yasser', 'Yasser', 'Semtex', 'Omar Mahmoud Othman', 'Salafi', 'Yasser', 'Yasser']","['UK', 'London', 'London', 'Northumberland Circle', 'East Bedfont', 'London', 'Canada', 'USA', 'Nassau', 'Bahamas', 'Montreal', 'Miami Beach', 'Camden', 'Nassau', 'Bahamas']","['1 May, 2003', 'the past six years', '1712']","['the Heston Service Area', 'the Baker St. Mosque', 'St. Clare St.', 'FL', 'NJ', 'Apple St.']"
FBI_03,"['Abu Somad', 'Buckthorn St', 'Yazid Bafaba', 'Somad', 'Bafaba', 'Riduan Sungkar', 'Omar Evertts', 'Somad', 'Bafaba', 'Somad', 'Somad', 'Bafaba']","['Culver City', 'Bafaba', 'Culver City', 'Newark']","['29 June', '2003']","['CIA', 'Flaxton St.', 'the CalNational Bank', 'BMI', 'NJ']"
FBI_04,"['Abu Hafs', 'Mehdi Rafiki']","['Illinois', 'Chicago', 'Chicago', 'Houston', 'Texas']","['2211', '27 September, 2003', '2 October, 2003', '27 April']","['Drexel Car Rental Agency', 'Drexel', 'Central States Airline', 'Mehdi Rafiki']"
FBI_05,"['Rifai Qasim', 'Rifai Qasim', 'Omar Blakely', 'Omar Blakely', 'Muhammed Mustafa', 'Mustafa', 'Rifai Qasim']","['Charlotte', 'NC', 'Charlotte', 'Charlotte', 'Charlotte', 'Charlotte', 'NC', 'Dubai', 'UAE']","['1 October, 2003', '23 October, 2003', '3131']","['Hezbollah', 'Charlotte NC', 'BailOut', 'the Carolina First Bank', 'the First Emirate Bank', 'The Carolina First Bank', 'Blakely']"
FBI_06,"['Abdul Murad', 'Khalid S.', ""Jamal al Quso's""]","['London', 'Chicago', 'USA', 'Chicago', 'Chicago', 'Murad', 'Texas']","['1999', '16 May, 2003', 'July 18, 1999', '28 September, 2003', '2211', 'tomorrow']","['CIA', 'the Chicago FBI', 'a Jamal al Quso', 'Jamal al Quso', 'Islamic Jihad', 'Islamic Jihad', 'FBI', 'C-4', 'Semtex', 'Quso']"
FBI_07,"['Augustin Dominique', 'Abdal al Hawsawi', 'Abdul Ahmed Nasser', 'Hawsawi', 'Ferry St, Buffalo']","['Paris', 'Rue Cardinet', 'Paris', 'Toronto', 'Afghanistan', 'NY']","['1 November, 2003', '1712']","['RCMP', 'CDG', 'CSIS']"
FBI_08,"['Mousa Salah', 'London Heathrow', 'Shadi abu Hoshar', 'Salah', 'Salah', 'Salah', 'Mousa Salah', 'Virginia DOT', 'April Stevens', 'Ms Stevens', 'Salah', 'J. T.']","['Herndon', 'VA', 'Northern Virginia', 'USA', 'Windsor', 'Canada', 'Detroit', 'Virginia', 'Roanoke', 'VA', 'Detroit', 'Newark', 'Laurel']","['1 November, 2003', '2002', '10 August, 2001']","['Hamas', 'Roanoke', 'Salah']"
FBI_09,"['Khalid Shamrani', 'Shamrani', 'Shamrani', 'Shamrani', 'Shamrani']","['USA', 'Houston', 'Texas', 'Denton', 'Texas', 'Mineral Wells', 'Texas', 'Bellaire', 'Texas', 'Houston', 'Zioni', 'US', 'Houston', 'Chicago']","['April, 2000', '12 March, 2003', '16 June, 2003', 'the next year']","['Al Qaeda', 'the TexEast Petroleum Co. Shamrani', 'FBI', '3236 Pine St.', 'the Houston Ship Channel', 'the Galleria Shopping Mall', 'Aryan Militia']"
